=============================================================
Report on testing EasyOCR (2023-01-22 17:25:44.930845):
Accuracy on image num. 255: 86.9%;
Accuracy on image num. 256: 89.02%;
Accuracy on image num. 257: 88.61%;
Accuracy on image num. 258: 95.78%;
Accuracy on image num. 259: 93.61%;
Accuracy on image num. 260: 88.46%;
Accuracy on image num. 261: 96.89%;
Accuracy on image num. 262: 92.4%;
Accuracy on image num. 263: 94.89%;
Accuracy on image num. 264: 91.81%;
Accuracy on image num. 265: 84.1%;
Accuracy on image num. 266: 88.17%;
Accuracy on image num. 267: 92.99%;
Accuracy on image num. 268: 80.41%;
Accuracy on image num. 269: 91.26%;
Accuracy on image num. 270: 94.93%;
Accuracy on image num. 271: 87.32%;
Accuracy on image num. 272: 91.16%;
Accuracy on image num. 273: 93.4%;
Accuracy on image num. 274: 78.51%;
Accuracy on image num. 275: 91.02%;
Accuracy on image num. 276: 79.33%;
Accuracy on image num. 277: 87.66%;
Accuracy on image num. 278: 94.18%;
Accuracy on image num. 279: 90.32%;
Accuracy on image num. 280: 86.42%;
Accuracy on image num. 281: 95.57%;
Accuracy on image num. 282: 92.23%;
Empty picture found on image num.283;
Accuracy on image num. 283: 92.23%;
Accuracy on image num. 284: 96.3%;
Accuracy on image num. 285: 94.03%;
Accuracy on image num. 286: 87.98%;
Accuracy on image num. 287: 91.23%;
Accuracy on image num. 288: 91.85%;
Accuracy on image num. 289: 88.99%;
Accuracy on image num. 290: 93.12%;
Accuracy on image num. 291: 97.48%;
Accuracy on image num. 292: 81.9%;
Accuracy on image num. 293: 93.16%;
Accuracy on image num. 294: 91.85%;
Accuracy on image num. 295: 80.28%;
Accuracy on image num. 296: 94.53%;
Accuracy on image num. 297: 94.56%;
Accuracy on image num. 298: 88.32%;
Accuracy on image num. 299: 89.7%;
Accuracy on image num. 300: 86.36%;
Accuracy on image num. 301: 93.51%;
Accuracy on image num. 302: 95.04%;
Accuracy on image num. 303: 87.74%;
Accuracy on image num. 304: 93.22%;
Accuracy on image num. 305: 91.51%;
Accuracy on image num. 306: 86.45%;
Accuracy on image num. 307: 91.88%;
Accuracy on image num. 308: 85.52%;
Accuracy on image num. 309: 94.77%;
Accuracy on image num. 310: 91.5%;
Accuracy on image num. 311: 96.49%;
Accuracy on image num. 312: 94.33%;
Accuracy on image num. 313: 88.05%;
Accuracy on image num. 314: 91.35%;
Accuracy on image num. 315: 94.4%;
Accuracy on image num. 316: 88.48%;
Accuracy on image num. 317: 79.03%;
Accuracy on image num. 318: 85.63%;
Accuracy on image num. 319: 76.3%;
Accuracy on image num. 320: 91.59%;
Accuracy on image num. 321: 90.9%;
Accuracy on image num. 322: 96.49%;
Accuracy on image num. 323: 96.89%;
Accuracy on image num. 324: 93.62%;
Accuracy on image num. 325: 90.64%;
Accuracy on image num. 326: 93.8%;
Accuracy on image num. 327: 94.75%;
Accuracy on image num. 328: 91.23%;
Accuracy on image num. 329: 93.09%;
Accuracy on image num. 330: 95.04%;
Accuracy on image num. 331: 82.6%;
Accuracy on image num. 332: 95.78%;
Accuracy on image num. 333: 87.39%;
Accuracy on image num. 334: 89.89%;
Accuracy on image num. 335: 92.97%;
Accuracy on image num. 336: 92.32%;
Accuracy on image num. 337: 92.27%;
Accuracy on image num. 338: 90.32%;
Accuracy on image num. 339: 90.48%;
Accuracy on image num. 340: 86.45%;
Accuracy on image num. 341: 93.25%;
Accuracy on image num. 342: 92.24%;
Accuracy on image num. 343: 93.28%;
Accuracy on image num. 344: 86.32%;
Accuracy on image num. 345: 90.61%;
Accuracy on image num. 346: 53.08%;
Accuracy on image num. 347: 79.33%;
Accuracy on image num. 348: 90.79%;
Accuracy on image num. 349: 92.27%;
Accuracy on image num. 350: 93.16%;
